branch_,radius_spec,year_quarter,new_business_count,treatment_date,treatment_quarter,post
West Loop,0.5mi,2026Q1,28,2019-01-17,2019Q1,1
West Loop,0.5mi,2026Q2,55,2019-01-17,2019Q1,1
Independence,0.25mi,2005Q1,4,2019-01-22,2019Q1,0
Independence,0.25mi,2005Q2,8,2019-01-22,2019Q1,0
Independence,0.25mi,2005Q3,1,2019-01-22,2019Q1,0
Independence,0.25mi,2005Q4,4,2019-01-22,2019Q1,0
Independence,0.25mi,2006Q1,8,2019-01-22,2019Q1,0
Independence,0.25mi,2006Q2,2,2019-01-22,2019Q1,0
Independence,0.25mi,2006Q3,4,2019-01-22,2019Q1,0
Independence,0.25mi,2006Q4,2,2019-01-22,2019Q1,0
Independence,0.25mi,2007Q1,9,2019-01-22,2019Q1,0
Independence,0.25mi,2007Q2,6,2019-01-22,2019Q1,0
Independence,0.25mi,2007Q3,2,2019-01-22,2019Q1,0
Independence,0.25mi,2007Q4,1,2019-01-22,2019Q1,0
Independence,0.25mi,2008Q1,4,2019-01-22,2019Q1,0
Independence,0.25mi,2008Q2,4,2019-01-22,2019Q1,0
Independence,0.25mi,2008Q3,1,2019-01-22,2019Q1,0
Independence,0.25mi,2008Q4,3,2019-01-22,2019Q1,0
Independence,0.25mi,2009Q1,5,2019-01-22,2019Q1,0
Independence,0.25mi,2009Q2,8,2019-01-22,2019Q1,0
Independence,0.25mi,2009Q3,4,2019-01-22,2019Q1,0
Independence,0.25mi,2009Q4,7,2019-01-22,2019Q1,0
Independence,0.25mi,2010Q1,5,2019-01-22,2019Q1,0
Independence,0.25mi,2010Q2,5,2019-01-22,2019Q1,0
Independence,0.25mi,2010Q3,2,2019-01-22,2019Q1,0
Independence,0.25mi,2010Q4,5,2019-01-22,2019Q1,0
Independence,0.25mi,2011Q1,10,2019-01-22,2019Q1,0
Independence,0.25mi,2011Q2,9,2019-01-22,2019Q1,0
Independence,0.25mi,2011Q3,4,2019-01-22,2019Q1,0
Independence,0.25mi,2011Q4,6,2019-01-22,2019Q1,0
Independence,0.25mi,2012Q1,8,2019-01-22,2019Q1,0
Independence,0.25mi,2012Q2,5,2019-01-22,2019Q1,0
Independence,0.25mi,2012Q3,3,2019-01-22,2019Q1,0
Independence,0.25mi,2012Q4,43,2019-01-22,2019Q1,0
